Campaign_ID,Channel,Region,Age_Group,Month,Impressions,Clicks,Conversions,Cost,Revenue
CAMP_0001,Social Media,North,45-54,Aug,45732,4463,,4802.86,42751.88
CAMP_0002,PPC,North,45-54,Oct,1769,201,15.0,2123.51,2326.33
CAMP_0003,SEO,South,35-44,Dec,42434,4223,330.0,2182.22,58184.36
CAMP_0004,SEO,North,45-54,Feb,12394,1633,180.0,2695.73,14492.21
CAMP_0005,Social Media,West,25-34,Aug,24483,878,70.0,1063.87,13735.95
CAMP_0006,PPC,South,25-34,Apr,44573,4059,197.0,4550.94,37421.97
CAMP_0007,SEO,North,25-34,May,30127,2836,287.0,3750.0,116088.53
CAMP_0008,SEO,East,18-24,Aug,40099,3630,284.0,3888.82,32233.99
CAMP_0009,Social Media,North,25-34,Jul,49190,6198,557.0,2173.95,129158.78
CAMP_0010,PPC,West,55+,Mar,9392,948,51.0,7489.76,3684.01
CAMP_0011,SEO,South,35-44,Sep,43530,3542,273.0,1679.11,93438.32
CAMP_0012,PPC,West,45-54,May,24419,830,35.0,2665.34,3249.52
CAMP_0013,Email,South,55+,Sep,34827,4965,,1525.96,261427.09
CAMP_0014,Email,West,18-24,Jul,47699,2110,312.0,1641.34,113938.51
CAMP_0015,Influencer,West,35-44,Sep,2306,174,14.0,4904.93,740.95
CAMP_0016,SEO,North,45-54,Jan,14545,929,117.0,3015.8,26079.28
CAMP_0017,Email,North,35-44,Jan,18675,984,117.0,1134.79,19581.35
CAMP_0018,TV Ad,West,25-34,Jun,1854,104,3.0,11165.56,89.15
CAMP_0019,Email,South,35-44,Jan,33970,2311,234.0,2180.34,64255.94
CAMP_0020,Email,East,35-44,Apr,16708,2198,236.0,1770.5,68492.34
CAMP_0021,PPC,North,18-24,Feb,20360,1459,88.0,3046.2,14424.5
CAMP_0022,TV Ad,North,25-34,Jan,31306,1556,37.0,18160.09,2842.25
CAMP_0023,Email,East,45-54,Aug,30855,3156,342.0,2743.04,106639.2
CAMP_0024,Social Media,East,18-24,Mar,30299,937,59.0,4551.08,12185.63
CAMP_0025,TV Ad,North,45-54,Jan,22357,2041,68.0,9258.81,2873.69
CAMP_0026,SEO,East,35-44,Jun,23399,2731,309.0,1372.23,70541.0
CAMP_0027,Social Media,North,18-24,Dec,15373,2263,179.0,1975.96,29620.55
CAMP_0028,PPC,North,45-54,Dec,28643,3262,169.0,7185.01,19116.21
CAMP_0029,SEO,North,35-44,Dec,44525,3033,215.0,1694.59,53286.72
CAMP_0030,Influencer,East,25-34,Mar,36743,4800,299.0,5061.14,37681.52
CAMP_0031,SEO,South,18-24,Aug,8455,906,82.0,1110.96,12578.88
CAMP_0032,PPC,West,55+,Dec,41111,3776,198.0,6214.9,15134.01
CAMP_0033,SEO,East,45-54,Feb,5780,261,19.0,2404.85,1709.34
CAMP_0034,Email,South,18-24,Apr,34621,2169,206.0,1945.7,90968.69
CAMP_0035,Email,North,45-54,Jun,16338,596,72.0,1258.16,
CAMP_0036,Email,South,35-44,Jan,5142,570,53.0,1828.39,18747.73
CAMP_0037,Social Media,North,45-54,May,38945,1176,67.0,2734.08,17934.95
CAMP_0038,Email,West,55+,Jul,47175,4311,583.0,2788.03,111774.57
CAMP_0039,PPC,South,45-54,May,9130,476,26.0,4614.04,1182.98
CAMP_0040,Email,East,45-54,Jan,14245,1587,187.0,1278.53,39566.78
CAMP_0041,SEO,South,35-44,Oct,39649,3967,428.0,2879.28,68238.11
CAMP_0042,SEO,West,35-44,Apr,17364,715,53.0,2526.01,4832.87
CAMP_0043,SEO,North,18-24,Aug,36195,1328,157.0,2042.14,48410.1
CAMP_0044,Influencer,East,18-24,Oct,44404,2126,,4370.54,17462.61
CAMP_0045,Social Media,South,55+,Nov,10817,695,47.0,4379.5,9203.09
CAMP_0046,Influencer,North,35-44,Apr,24548,1391,78.0,8145.5,16325.4
CAMP_0047,Social Media,North,35-44,Sep,24190,3410,331.0,4105.65,66950.82
CAMP_0048,Social Media,West,55+,Sep,42555,5423,386.0,3137.31,59439.56
CAMP_0049,Influencer,North,35-44,Dec,18101,1954,135.0,5484.34,8076.22
CAMP_0050,Social Media,South,25-34,May,41419,5923,553.0,3690.07,114833.15
CAMP_0051,PPC,North,55+,Aug,25394,894,42.0,5275.49,6283.61
CAMP_0052,Email,North,18-24,Jun,20065,783,94.0,2554.65,23733.43
CAMP_0053,Influencer,West,35-44,Oct,38080,3691,235.0,9630.74,33526.76
CAMP_0054,Influencer,West,55+,Sep,45482,2409,159.0,3778.38,29172.51
CAMP_0055,PPC,South,55+,Jun,15683,2275,126.0,6086.24,20102.55
CAMP_0056,Influencer,North,45-54,Mar,23700,606,52.0,9845.3,11763.06
CAMP_0057,PPC,South,35-44,Jul,7190,732,49.0,2452.61,6586.08
CAMP_0058,Email,South,45-54,Apr,11975,329,36.0,1202.41,6040.89
CAMP_0059,SEO,East,18-24,Sep,32921,1796,164.0,1930.73,32528.3
CAMP_0060,Social Media,East,55+,Sep,36547,2018,125.0,4255.18,25706.54
CAMP_0061,Social Media,South,18-24,Nov,24793,2273,145.0,4730.91,29892.32
CAMP_0062,SEO,East,18-24,May,21309,2723,283.0,2018.85,20903.56
CAMP_0063,Email,North,55+,Oct,19384,1734,239.0,2661.81,79079.92
CAMP_0064,Influencer,West,25-34,Dec,39765,2095,126.0,4731.44,22591.46
CAMP_0065,Social Media,South,35-44,Sep,44125,5651,399.0,1088.74,113874.45
CAMP_0066,SEO,South,45-54,Feb,16254,1920,205.0,2336.15,32028.41
CAMP_0067,Social Media,North,45-54,Jul,7941,731,44.0,3359.67,7959.15
CAMP_0068,SEO,West,55+,Feb,38660,1512,189.0,3032.45,29875.64
CAMP_0069,SEO,East,35-44,Jun,40037,4097,345.0,1911.72,33863.65
CAMP_0070,PPC,North,25-34,Mar,43679,3211,235.0,3080.4,45112.49
CAMP_0071,Email,West,25-34,Feb,46659,3041,262.0,922.34,71238.07
CAMP_0072,Email,South,35-44,Jan,17282,433,61.0,1325.25,7232.7
CAMP_0073,Social Media,South,45-54,Jul,15178,667,44.0,4224.81,6374.06
CAMP_0074,SEO,South,35-44,Dec,40577,1005,85.0,3105.65,32962.73
CAMP_0075,Email,East,18-24,Jan,40650,2911,266.0,1618.53,42808.37
CAMP_0076,Email,North,55+,Feb,48915,2461,267.0,1318.74,54359.42
CAMP_0077,Email,North,45-54,Oct,15369,1421,179.0,1842.77,39253.76
CAMP_0078,SEO,South,45-54,Nov,11554,1712,,1581.93,17875.99
CAMP_0079,Email,West,25-34,Apr,21119,2884,258.0,2514.66,58497.99
CAMP_0080,TV Ad,South,35-44,Aug,42605,6252,186.0,17982.61,18222.86
CAMP_0081,SEO,West,18-24,Oct,7469,1089,122.0,3483.46,33028.25
CAMP_0082,PPC,South,25-34,May,2917,116,6.0,2523.74,286.19
CAMP_0083,Email,East,35-44,Jan,6287,787,80.0,2974.9,29473.14
CAMP_0084,Influencer,East,18-24,Aug,43929,1588,126.0,8221.82,11495.22
CAMP_0085,PPC,North,55+,May,22852,872,61.0,2288.57,3466.55
CAMP_0086,Email,West,35-44,Jun,21611,1320,166.0,2084.4,42517.73
CAMP_0087,SEO,West,35-44,Jul,10184,511,63.0,2203.98,14873.65
CAMP_0088,Email,North,45-54,Jul,32110,3691,494.0,2849.58,164294.13
CAMP_0089,SEO,South,25-34,Oct,33184,2008,170.0,3992.62,16506.0
CAMP_0090,SEO,West,55+,Aug,47197,5982,,3214.83,61416.9
CAMP_0091,Email,South,35-44,Nov,36659,4411,374.0,1073.13,107783.45
CAMP_0092,Social Media,East,45-54,Oct,15153,977,65.0,1726.39,7050.54
CAMP_0093,SEO,West,45-54,May,18368,978,111.0,2418.84,12651.41
CAMP_0094,TV Ad,West,18-24,Jun,28632,2717,86.0,15608.58,6909.81
CAMP_0095,Influencer,East,35-44,Aug,23116,3421,288.0,3859.68,51583.79
CAMP_0096,SEO,East,45-54,Sep,10524,669,79.0,2013.78,11532.32
CAMP_0097,Influencer,West,35-44,Mar,9070,590,47.0,9460.72,3938.42
